run1_idx,run2_idx,confidence,event_type,run1_distance,run2_distance,run1_clock,run2_clock,depth_run1,depth_run2,depth_change,depth_growth_rate,length_run1,length_run2,length_change,length_growth_rate,width_run1,width_run2,width_change,width_growth_rate,is_critical
300,789,0.7041740477394539,METAL_LOSS,9452.84,9476.296,1.6333333333333333,1.45,13.0,20.0,7.0,1.0,1.1,9.4,8.3,1.1857142857142857,1.58,4.5,2.92,0.41714285714285715,False
301,790,0.7059507412839497,METAL_LOSS,9453.04,9476.594,2.966666666666667,2.3333333333333335,13.0,16.0,3.0,0.42857142857142855,1.34,5.2,3.8600000000000003,0.5514285714285715,1.73,1.1,-0.6299999999999999,-0.08999999999999998,False
299,791,0.6430266196509672,METAL_LOSS,9452.13,9477.362,9.433333333333334,2.3666666666666667,16.0,18.0,2.0,0.2857142857142857,2.09,1.5,-0.5899999999999999,-0.08428571428571427,1.89,1.3,-0.5899999999999999,-0.08428571428571427,False
302,796,0.5579261367873986,METAL_LOSS,9458.19,9478.54,8.116666666666667,7.633333333333333,17.0,19.0,2.0,0.2857142857142857,1.22,6.1,4.88,0.6971428571428572,1.81,3.1,1.29,0.1842857142857143,False
304,798,0.5961671583698815,METAL_LOSS,9459.51,9479.573,7.9,7.766666666666667,23.0,21.0,-2.0,-0.2857142857142857,0.94,5.7,4.76,0.6799999999999999,1.69,3.0,1.31,0.18714285714285714,False
303,799,0.5807823094580076,METAL_LOSS,9458.78,9480.256,8.083333333333334,7.633333333333333,30.0,26.0,-4.0,-0.5714285714285714,0.63,4.9,4.2700000000000005,0.6100000000000001,1.34,4.1,2.76,0.39428571428571424,False
306,803,0.5012875483071297,METAL_LOSS,9460.01,9481.788,6.033333333333333,7.5,39.0,18.0,-21.0,-3.0,1.42,1.7,0.28,0.04,1.81,1.3,-0.51,-0.07285714285714286,False
305,806,0.5415522600392182,METAL_LOSS,9459.88,9483.842,5.233333333333333,7.783333333333333,35.0,29.0,-6.0,-0.8571428571428571,0.94,2.8,1.8599999999999999,0.2657142857142857,1.42,2.0,0.5800000000000001,0.08285714285714287,False
332,847,0.9076612939083866,CLUSTER,10119.99,10147.329,6.35,6.216666666666667,20.0,22.0,2.0,0.2857142857142857,0.96,3.5,2.54,0.3628571428571429,4.86,5.0,0.13999999999999968,0.019999999999999955,False
345,881,0.8531433675286959,METAL_LOSS,10515.15,10543.307,4.466666666666667,4.383333333333334,10.0,18.0,8.0,1.1428571428571428,0.94,6.4,5.460000000000001,0.7800000000000001,2.36,3.8,1.44,0.2057142857142857,False
367,892,0.8417420683053376,METAL_LOSS,10595.34,10622.356,6.533333333333333,6.366666666666666,13.0,24.0,11.0,1.5714285714285714,0.47,1.5,1.03,0.14714285714285716,1.02,1.1,0.08000000000000007,0.011428571428571439,False
368,893,0.8110397966845934,METAL_LOSS,10595.48,10623.796,6.416666666666667,6.65,35.0,23.0,-12.0,-1.7142857142857142,1.02,5.0,3.98,0.5685714285714286,2.6,4.4,1.8000000000000003,0.2571428571428572,False
