run1_idx,run2_idx,confidence,event_type,run1_distance,run2_distance,run1_clock,run2_clock,depth_run1,depth_run2,depth_change,depth_growth_rate,length_run1,length_run2,length_change,length_growth_rate,width_run1,width_run2,width_change,width_growth_rate,is_critical
25,23,0.772158761475813,CLUSTER,127.58,125.902,5.833333333333333,5.7,18.0,17.0,-1.0,-0.06666666666666667,2.0,3.4,1.4,0.09333333333333332,3.44,1.8,-1.64,-0.10933333333333332,False
24,24,0.8110511379489017,CLUSTER,125.12,126.378,9.066666666666666,9.05,16.0,29.0,13.0,0.8666666666666667,3.55,7.0,3.45,0.23,2.64,6.1,3.4599999999999995,0.23066666666666663,False
49,90,0.8970071676550215,CLUSTER,605.58,607.72,9.8,9.633333333333333,10.0,11.0,1.0,0.06666666666666667,0.86,3.1,2.24,0.14933333333333335,2.41,1.6,-0.81,-0.054000000000000006,False
51,98,0.7027957515297215,CLUSTER,636.8,639.085,4.633333333333333,5.683333333333334,15.0,33.0,18.0,1.2,1.85,2.4,0.5499999999999998,0.03666666666666665,8.94,1.5,-7.4399999999999995,-0.49599999999999994,False
57,111,0.5438649182364801,CLUSTER,668.73,671.037,1.5666666666666667,4.916666666666667,21.0,17.0,-4.0,-0.26666666666666666,4.67,8.1,3.4299999999999997,0.22866666666666666,10.14,6.9,-3.24,-0.21600000000000003,False
58,112,0.7120061905078866,METAL_LOSS,668.81,671.365,9.633333333333333,8.933333333333334,40.0,26.0,-14.0,-0.9333333333333333,1.02,12.1,11.08,0.7386666666666667,0.94,10.2,9.26,0.6173333333333333,False
63,116,0.5997551072102543,METAL_LOSS,679.28,681.726,8.833333333333334,3.1666666666666665,15.0,24.0,9.0,0.6,1.61,3.3,1.6899999999999997,0.11266666666666665,5.95,6.5,0.5499999999999998,0.03666666666666665,False
77,140,0.5249639396437804,CLUSTER,957.34,958.524,4.283333333333333,2.033333333333333,28.0,23.0,-5.0,-0.3333333333333333,3.46,4.8,1.3399999999999999,0.08933333333333332,3.33,3.8,0.46999999999999975,0.03133333333333332,False
78,142,0.7142337570383359,METAL_LOSS,957.56,959.997,3.7333333333333334,3.3333333333333335,17.0,28.0,11.0,0.7333333333333333,1.14,15.0,13.86,0.9239999999999999,1.14,7.2,6.0600000000000005,0.404,False
87,154,0.5504701010753396,CLUSTER,1198.08,1195.889,4.166666666666667,4.483333333333333,13.0,13.0,0.0,0.0,4.9,0.7,-4.2,-0.28,1.11,2.2,1.09,0.07266666666666667,False
89,165,0.5269250085312214,CLUSTER,1204.54,1207.49,3.9333333333333336,5.8,13.0,12.0,-1.0,-0.06666666666666667,8.21,0.6,-7.610000000000001,-0.5073333333333334,5.13,0.9,-4.2299999999999995,-0.282,False
90,187,0.5325413784780448,CLUSTER,1226.73,1227.602,7.85,6.166666666666667,10.0,11.0,1.0,0.06666666666666667,2.05,2.2,0.15000000000000036,0.010000000000000024,0.73,2.8,2.07,0.13799999999999998,False
92,189,0.699001598042407,CLUSTER,1238.12,1241.355,7.85,6.4,10.0,12.0,2.0,0.13333333333333333,0.97,1.9,0.9299999999999999,0.06199999999999999,1.78,1.3,-0.48,-0.032,False
94,190,0.5397485968577413,CLUSTER,1239.41,1242.343,3.75,6.45,11.0,15.0,4.0,0.26666666666666666,0.94,7.4,6.460000000000001,0.4306666666666667,3.88,3.0,-0.8799999999999999,-0.05866666666666666,False
172,199,0.5573830437764263,CLUSTER,1454.64,1459.432,9.2,1.4333333333333333,11.0,13.0,2.0,0.13333333333333333,3.89,7.2,3.31,0.22066666666666668,10.58,2.3,-8.280000000000001,-0.552,False
173,200,0.5856465913564666,CLUSTER,1458.54,1463.136,9.95,1.0,10.0,18.0,8.0,0.5333333333333333,0.62,6.5,5.88,0.392,1.8,2.2,0.40000000000000013,0.026666666666666675,False
179,201,0.8395869527946003,CLUSTER,1466.43,1471.148,1.15,1.1833333333333333,10.0,15.0,5.0,0.3333333333333333,10.44,6.0,-4.4399999999999995,-0.296,10.05,1.4,-8.65,-0.5766666666666667,False
214,207,0.5251433355743014,CLUSTER,1673.93,1678.927,9.45,6.75,11.0,18.0,7.0,0.4666666666666667,6.3,2.2,-4.1,-0.2733333333333333,11.71,1.7,-10.010000000000002,-0.6673333333333334,False
