run1_idx,run2_idx,joint_number,run1_distance,run2_distance,offset
10.0,11.0,30.0,28.69,28.556,-0.13400000000000034
12.0,13.0,40.0,38.83,39.344,0.5140000000000029
14.0,15.0,50.0,53.72,54.639,0.919000000000004
15.0,17.0,60.0,94.06,94.665,0.605000000000004
17.0,19.0,70.0,103.33,104.432,1.1020000000000039
19.0,21.0,70.01,111.52,112.536,1.0160000000000053
20.0,27.0,80.0,128.88,129.521,0.6409999999999911
21.0,32.0,90.0,144.02,144.81,0.789999999999992
22.0,36.0,100.0,175.63,176.437,0.8070000000000164
23.0,37.0,110.0,215.7,216.539,0.8389999999999986
24.0,38.0,120.0,255.86,256.588,0.7280000000000086
26.0,41.0,130.0,269.0,270.072,1.0720000000000027
27.0,43.0,140.0,309.49,310.207,0.7169999999999845
28.0,44.0,150.0,349.65,350.289,0.63900000000001
30.0,46.0,160.0,359.33,360.666,1.3360000000000127
31.0,47.0,170.0,376.91,377.671,0.7609999999999673
33.0,49.0,180.0,384.52,385.886,1.3660000000000423
34.0,50.0,190.0,407.86,408.904,1.0439999999999827
36.0,52.0,200.0,417.34,419.098,1.7580000000000382
37.0,56.0,210.0,429.95,431.184,1.2340000000000373
39.0,58.0,210.01,438.75,440.489,1.738999999999976
40.0,60.0,220.0,446.26,447.992,1.7320000000000277
41.0,61.0,230.0,486.3,488.084,1.7839999999999918
42.0,66.0,240.0,526.15,528.284,2.1340000000000146
43.0,77.0,250.0,566.12,568.596,2.475999999999999
44.0,92.0,260.0,606.11,608.73,2.6200000000000045
45.0,103.0,270.0,637.51,640.072,2.562000000000012
47.0,105.0,280.0,646.78,649.675,2.894999999999982
49.0,108.0,290.0,654.88,657.956,3.076000000000022
50.0,113.0,300.0,670.33,672.979,2.649000000000001
52.0,115.0,310.0,677.99,681.214,3.2240000000000464
53.0,117.0,320.0,686.92,689.987,3.0670000000000073
54.0,118.0,330.0,697.29,700.266,2.975999999999999
55.0,120.0,340.0,737.27,740.325,3.0550000000000637
57.0,122.0,350.0,747.95,751.785,3.8349999999999227
58.0,123.0,360.0,754.23,757.835,3.605000000000018
59.0,125.0,370.0,784.79,788.563,3.7730000000000246
60.0,134.0,380.0,822.65,826.404,3.754000000000019
61.0,135.0,390.0,862.71,866.627,3.9169999999999163
62.0,136.0,400.0,902.75,906.709,3.9589999999999463
63.0,138.0,410.0,942.9,946.798,3.8980000000000246
65.0,141.0,420.0,954.76,959.331,4.571000000000026
66.0,143.0,430.0,984.83,988.99,4.159999999999968
68.0,145.0,440.0,998.04,1002.749,4.70900000000006
69.0,147.0,450.0,1038.36,1042.927,4.567000000000007
70.0,148.0,460.0,1078.41,1082.923,4.51299999999992
71.0,149.0,470.0,1118.5,1123.091,4.5909999999998945
72.0,150.0,480.0,1158.59,1163.094,4.504000000000133
73.0,163.0,490.0,1198.74,1203.35,4.6099999999999
74.0,191.0,500.0,1238.87,1243.399,4.528999999999996
75.0,192.0,510.0,1279.0,1283.599,4.598999999999933
