joint_number,joint_length,wall_thickness,dist_upstream_weld,dist_downstream_weld,log_distance,event_type,orientation,depth_percent,depth_inches,od_reduction_pct,od_reduction_in,length,width,clock_position,comments,Anomalies per Joint,Tool Velocity [ft/s],elevation,Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),mop,smys,Seam Type,pdesign,B31G Psafe [PSI],B31G Pburst [PSI],safe_pressure_psi,burst_pressure_psi,Effective Area Psafe [PSI],Effective Area Pburst [PSI],erf,rpr,inspection_year,feature_id,is_anomaly,distance_ft_original,distance_ft_aligned,event_type_normalized,is_reference,clock_decimal,original_index,corrected_distance
2640.0,,0.344,-28.19,12.46,9452.13,Metal Loss,External,16.0,0.055,,,2.09,1.89,9:26,,,0.7,15.59,,MFL-A/XT,,1160.0,65000.0,,1342.0,1448.26,2010.88,,,,,,,2015,Metal Loss_9452.1,True,9452.13,9452.13,METAL_LOSS,False,9.433333333333334,299,9442.497682086614
2640.0,,0.344,-28.91,11.74,9452.84,Metal Loss,External,13.0,0.045,,,1.1,1.58,1:38,,,0.7,15.77,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.63,2039.16,,,,,,,2015,Metal Loss_9452.8,True,9452.84,9452.84,METAL_LOSS,False,1.6333333333333333,300,9443.197549212598
2640.0,,0.344,-29.11,11.54,9453.04,Metal Loss,External,13.0,0.045,,,1.34,1.73,2:58,,,0.7,15.82,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.59,2034.94,,,,,,,2015,Metal Loss_9453.0,True,9453.04,9453.04,METAL_LOSS,False,2.966666666666667,301,9443.39469488189
2640.0,,0.344,-34.26,6.39,9458.19,Metal Loss,External,17.0,0.058,,,1.22,1.81,8:07,,,0.7,16.95,,MFL-A/XT,,1160.0,65000.0,,1342.0,1463.94,2032.64,,,,,,,2015,Metal Loss_9458.2,True,9458.19,9458.19,METAL_LOSS,False,8.116666666666667,302,9448.471195866143
2640.0,,0.344,-34.84,5.8,9458.78,Metal Loss,External,30.0,0.103,,,0.63,1.34,8:05,,,0.7,17.07,,MFL-A/XT,,1160.0,65000.0,,1342.0,1469.21,2039.96,1540.59,2139.08,1541.47,2140.29,0.75,1.84,2015,Metal Loss_9458.8,True,9458.78,9458.78,METAL_LOSS,False,8.083333333333334,303,9449.052775590551
2640.0,,0.344,-35.57,5.08,9459.51,Metal Loss,External,23.0,0.079,,,0.94,1.69,7:54,,,0.7,17.21,,MFL-A/XT,,1160.0,65000.0,,1342.0,1465.35,2034.6,1536.39,2133.24,1537.3,2134.51,0.76,1.84,2015,Metal Loss_9459.5,True,9459.51,9459.51,METAL_LOSS,False,7.9,304,9449.772357283466
2640.0,,0.344,-35.94,4.71,9459.88,Metal Loss,External,35.0,0.12,,,0.94,1.42,5:14,,,0.7,17.28,,MFL-A/XT,,1160.0,65000.0,,1342.0,1458.05,2024.47,1527.5,2120.9,1530.17,2124.6,0.76,1.83,2015,Metal Loss_9459.9,True,9459.88,9459.88,METAL_LOSS,False,5.233333333333333,305,9450.137076771653
2640.0,,0.344,-36.07,4.57,9460.01,Metal Loss,External,39.0,0.134,,,1.42,1.81,6:02,,,0.7,17.3,,MFL-A/XT,,1160.0,65000.0,,1342.0,1433.42,1990.26,1497.73,2079.56,1504.65,2089.16,0.77,1.79,2015,Metal Loss_9460.0,True,9460.01,9460.01,METAL_LOSS,False,6.033333333333333,306,9450.265221456693
2830.0,,0.344,-39.34,1.05,10119.99,Cluster,External,20.0,0.069,,,0.96,4.86,6:21,,,0.7,180.49,,,,1160.0,65000.0,,1342.0,1467.03,2036.93,1538.35,2135.95,1538.61,2136.33,0.75,1.84,2015,Cluster_10120.0,True,10119.99,10119.99,CLUSTER,False,6.35,332,10109.433899480067
2960.0,,0.344,-28.61,11.59,10584.75,Metal Loss,External,13.0,0.045,,,0.79,1.18,7:08,,,0.7,153.42,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.14,2044.03,,,,,,,2015,Metal Loss_10584.8,True,10584.75,10584.75,METAL_LOSS,False,7.133333333333334,351,10572.894744961433
