joint_number,joint_length,wall_thickness,dist_upstream_weld,log_distance,elevation,event_type,depth_percent,id_reduction,length,width,burst_mop,clock_position,orientation,comments,event_type_normalized,is_reference,is_anomaly,clock_decimal,original_index
,,0.344,-0.86,679.22,804.051,metal loss,25.0,,2.36,1.3,1.81,8:16,External,,METAL_LOSS,False,True,8.266666666666667,62
,,0.344,-32.37,1071.67,831.4453,metal loss-manufacturing anomaly,18.0,,0.67,0.83,,12:19,,,METAL_LOSS_MFG,False,True,12.316666666666666,83
,,0.344,-32.07,1231.34,846.2109,Cluster,10.0,,4.49,4.88,,3:44,Internal,,CLUSTER,False,True,3.7333333333333334,91
,,0.344,-3.37,1242.62,847.502,Cluster,11.0,,8.17,5.95,,3:31,Internal,,CLUSTER,False,True,3.5166666666666666,95
,,0.344,-13.67,1252.92,848.7088,Cluster,10.0,,5.48,5.26,,7:41,Internal,,CLUSTER,False,True,7.683333333333334,96
,,0.344,-17.53,1256.78,849.1625,Cluster,10.0,,1.02,2.2,,3:35,Internal,,CLUSTER,False,True,3.5833333333333335,97
,,0.344,-23.45,1262.7,849.8628,Cluster,11.0,,25.08,6.14,,7:45,Internal,,CLUSTER,False,True,7.75,98
,,0.344,-25.02,1264.27,850.0493,metal loss,10.0,,0.47,0.59,,3:17,Internal,,METAL_LOSS,False,True,3.283333333333333,99
,,0.344,-26.64,1265.9,850.2413,Cluster,11.0,,7.7,3.98,,3:20,Internal,,CLUSTER,False,True,3.3333333333333335,100
,,0.344,-36.54,1275.79,851.4171,Cluster,10.0,,5.03,3.86,,8:16,Internal,,CLUSTER,False,True,8.266666666666667,101
,,0.344,-37.65,1276.9,851.5489,Cluster,11.0,,9.19,5.01,,7:59,Internal,,CLUSTER,False,True,7.983333333333333,102
,,0.344,-39.55,1278.81,851.7731,Cluster,10.0,,5.35,9.59,,7:46,Internal,,CLUSTER,False,True,7.766666666666667,103
,,0.344,-5.12,1284.35,852.4263,Cluster,11.0,,2.45,7.96,,2:38,Internal,,CLUSTER,False,True,2.6333333333333333,105
,,0.344,-17.29,1296.52,853.8535,Cluster,10.0,,1.68,5.01,,8:41,Internal,,CLUSTER,False,True,8.683333333333334,106
,,0.344,-17.74,1296.97,853.9065,Cluster,10.0,,2.5,3.56,,2:45,Internal,,CLUSTER,False,True,2.75,107
,,0.344,-20.56,1299.79,854.2387,Cluster,10.0,,5.15,4.65,,8:33,Internal,,CLUSTER,False,True,8.55,108
,,0.344,-23.44,1302.67,854.5774,metal loss,12.0,,0.55,0.55,,1:57,Internal,,METAL_LOSS,False,True,1.95,109
,,0.344,-3.65,1322.91,856.9639,Cluster,10.0,,1.82,2.26,,9:33,Internal,,CLUSTER,False,True,9.55,111
,,0.344,-11.21,1330.47,857.8544,Cluster,10.0,,9.49,7.52,,8:40,Internal,,CLUSTER,False,True,8.666666666666666,112
